Domain Name ,Domain,Control_ID,Control_Desc,Control_Scope,Control_Owner,Control_Operator,Control_Type,Control_Type
Technology Change Management,TC,TC-CS-5,The Company's Change Management Team performs an audit of changes to ensure change documentation meets The Company Change Management Policy. ,Baseline,,,Enterprise,Technical
Project Planning,PP,PP-CS-1,"A security strategy is established, documented, maintained, communicated and reviewed [INSERT TIME FRAME].",Baseline,,,Enterprise,Administrative
Project Planning,PP,PP-CS-2,"A budgeting process to fund security and technology capital and operational expenditures, including ensuring the security and technology organizations are adequately staffed and funded, has been defined and implemented.",Baseline,,,Enterprise,Administrative
Project Planning,PP,PP-CS-3,"The System Development Life Cycle (SDLC) methodology and supporting processes and tools are defined, maintained, reviewed and approved on a [INSERT TIME FRAME] basis.",Baseline,,,Enterprise,Administrative
Project Planning,PP,PP-CS-4,System development and information security roles and responsibilities are defined and communicated.,Baseline,,,Enterprise,Administrative
Project Planning,PP,PP-CS-5,"The organization controls changes to systems within the System Development Life Cycle (SDLC) through formal, documented, and implemented change control procedures that incorporate information security considerations.",Baseline,,,System Specific,Administrative
Project Planning,PP,PP-CS-6,Use of production data in non-production environments is prohibited.,Baseline,,,System Specific,Administrative
Project Planning,PP,PP-CS-7,Production environments are logically separate from non-production environments.,Baseline,,,System Specific,Technical
Project Planning,PP,PP-CS-8,"Organizational communication and data flows (i.e. system designs,  data flow diagrams) for applications and systems are documented and updated [INSERT TIME FRAME].",Baseline,,,System Specific,Administrative
Project Planning,PP,PP-CS-9,"A Privacy strategy is established, documented, maintained, communicated and reviewed [INSERT TIME FRAME].",Baseline,,,Enterprise,
Project Planning,PP,PP-CS-10,"A budgeting process to fund Privacy capital and operational expenditures, including ensuring the Privacy organization is adequately staffed and funded, has been defined and implemented.",Baseline,,,Enterprise,
Data Encryption,DE,DE-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",Baseline,,,Enterprise,Administrative
Data Encryption,DE,DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-4,The Company owned laptops and mobile devices employ full disk encryption.,Baseline,,,Enterprise,Technical
Data Encryption,DE,DE-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",Baseline,,,System Specific,Administrative
Data Encryption,DE,DE-CS-6,"Access to cryptographic keys is restricted to authorized personnel and appropriately stored, protected, and maintained, in accordance with defined requirements.",Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-7,Cryptographic mechanisms have been implemented to protect data integrity in transit.,Baseline,,,Enterprise,Technical
Data Encryption,DE,DE-CS-8,Cryptographic mechanisms have been implemented to verify the authenticity of software prior to installation.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-9,"A formal digital certificate management program, including supporting requirements and management documentation, technology, and inventory, is defined, established, implemented, and maintained.",Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-1,The Company has a Patch Supervisor and Patch Management Group (PMG) responsible for supervising and reporting on patching.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-2,The Company provides training on patch management policies and procedures on a [INSERT TIME FRAME] basis.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-3,The Company performs a biannual assessment of its management and implementation of security updates and patches.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-4,"Patches are identified, assessed, and documented as they are made available by vendors.",Baseline,,,System Specific,Administrative
Patch Management,PM,PM-CS-5,"Patch deployment is prioritized, initiated, completed, and documented per timeline requirements.",Baseline,,,System Specific,Technical
Patch Management,PM,PM-CS-6,"The Company documents, reports, and escalates patch status, progress, risks, and issues.",Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-7,System images and baseline build configurations are updated to include the latest available patches.,Baseline,,,Enterprise,Technical
Patch Management,PM,PM-CS-8,The Company maintains a patch management solution to manage software patches.,Baseline,,,System Specific,Administrative
Patch Management,PM,PM-CS-9,Application or System Owners verify that patches are successfully deployed.,Baseline,,,System Specific,Technical
Vulnerability Management,VM,VM-CS-1,The Company receives and analyzes vulnerability information to determine applicability and potential impact to The Company assets. ,Baseline,,,Enterprise,Administrative
Vulnerability Management,VM,VM-CS-2,The Company maintains a process for internal and external sources to report identified vulnerabilities. ,Baseline,,,Enterprise,Administrative
Vulnerability Management,VM,VM-CS-3,The Company scans external systems to identify vulnerabilities on [INSERT TIME FRAME]. ,Baseline,,,Enterprise,Technical
Vulnerability Management,VM,VM-CS-4,The Company scans internal systems to identify vulnerabilities on [INSERT TIME FRAME]. ,Baseline,,,Enterprise,Technical
Vulnerability Management,VM,VM-CS-5,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME]. ,Baseline,,,Enterprise,Technical
Vulnerability Management,VM,VM-CS-6,The Company ranks and prioritizes identified vulnerabilities for remediation in accordance with an established risk ranking process. ,Baseline,,,Enterprise,Technical
Vulnerability Management,VM,VM-CS-7,The Company documents and communicates identified vulnerabilities to responsible parties. ,Baseline,,,Enterprise,Administrative
Vulnerability Management,VM,VM-CS-8,The Company tracks identified vulnerabilities against established remediation timelines. ,Baseline,,,Enterprise,Administrative
Vulnerability Management,VM,VM-CS-9,The Company performs testing or scanning to confirm remediation of identified vulnerabilities. ,Baseline,,,Enterprise,Technical
Vulnerability Management,VM,VM-CS-10,"The Company maintains a process to prioritize, communicate, escalate, and track remediation of exploitable critical vulnerabilities identified on The Company perimeter.",Baseline,,,Enterprise,Administrative
Vulnerability Management,VM,VM-CS-11,Application and System Owners mitigate vulnerabilities within established Service Level Agreements (SLAs).,Baseline,,,System Specific,Administrative
