opensource_control_id,opensource_control_domain,control_domain,Control_ID,Control_Statement,CSF_Subcategory_ID,CSF_Subcategory_Description
RP-CS-1,RP,BCD,BCD-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,ID.BE-4,Dependencies and critical functions for delivery of critical services are established
RP-CS-1,RP,BCD,BCD-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)"
RP-CS-1,RP,BCD,BCD-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
RP-CS-1,RP,BCD,BCD-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,RS.CO-1,Personnel know their roles and order of operations when a response is needed
RP-CS-1,RP,BCD,BCD-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,RS.CO-3,Information is shared consistent with response plans
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RC.RP-1,Recovery plan is executed during or after a cybersecurity incident
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RS.CO-3,Information is shared consistent with response plans
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RS.CO-4,Coordination with stakeholders occurs consistent with response plans
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RS.MI-1,Incidents are contained
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RS.MI-2,Incidents are mitigated
RP-CS-2,RP,BCD,BCD-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RS.RP-1,Response plan is executed during or after an incident
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",PR.IP-10,Response and recovery plans are tested
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RC.IM-1,Recovery plans incorporate lessons learned
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RC.IM-2,Recovery strategies are updated
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RS.IM-1,Response plans incorporate lessons learned
RP-CS-3,RP,BCD,BCD-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RS.IM-2,Response strategies are updated
RP-CS-4,RP,BCD,BCD-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers
RP-CS-4,RP,BCD,BCD-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,PR.IP-10,Response and recovery plans are tested
RP-CS-4,RP,BCD,BCD-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,PR.IP-4,"Backups of information are conducted, maintained, and tested"
RP-CS-4,RP,BCD,BCD-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,RS.CO-1,Personnel know their roles and order of operations when a response is needed
RP-CS-5,RP,BCD,BCD-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
RP-CS-5,RP,BCD,BCD-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)"
RP-CS-6,RP,BCD,BCD-CS-6,The Company completes secure backups of information systems and data.,PR.IP-4,"Backups of information are conducted, maintained, and tested"
RP-CS-7,RP,BCD,BCD-CS-7,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis. ,PR.IP-4,"Backups of information are conducted, maintained, and tested"
CC-CS-1,CC,CFG,CFG-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
CC-CS-1,CC,CFG,CFG-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,PR.IP-3,Configuration change control processes are in place
CC-CS-1,CC,CFG,CFG-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
CC-CS-2,CC,CFG,CFG-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
CC-CS-2,CC,CFG,CFG-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,PR.IP-3,Configuration change control processes are in place
CC-CS-2,CC,CFG,CFG-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
CC-CS-3,CC,CFG,CFG-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
CC-CS-3,CC,CFG,CFG-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,PR.IP-3,Configuration change control processes are in place
CC-CS-3,CC,CFG,CFG-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
CC-CS-4,CC,CFG,CFG-CS-4,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis. ,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
CC-CS-4,CC,CFG,CFG-CS-4,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis. ,PR.IP-3,Configuration change control processes are in place
CC-CS-5,CC,CFG,CFG-CS-5,The Company restricts program execution for systems deployed in its FedRAMP boundaries.  ,PR.IP-3,Configuration change control processes are in place
CC-CS-5,CC,CFG,CFG-CS-5,The Company restricts program execution for systems deployed in its FedRAMP boundaries.  ,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
TC-CS-1,TC,CHG,CHG-CS-1,"The Company maintains a Change Management Policy that identifies requirements for changes, roles, responsibilities, and management commitment. ",PR.IP-3,Configuration change control processes are in place
TC-CS-2,TC,CHG,CHG-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",PR.IP-3,Configuration change control processes are in place
TC-CS-2,TC,CHG,CHG-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools"
TC-CS-2,TC,CHG,CHG-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
TC-CS-3,TC,CHG,CHG-CS-3,The Company has established a Change Advisory Board (CAB) to review changes categorized as Risk 1 or Risk 2. ,PR.IP-3,Configuration change control processes are in place
TC-CS-4,TC,CHG,CHG-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",PR.IP-3,Configuration change control processes are in place
TC-CS-4,TC,CHG,CHG-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools"
TC-CS-4,TC,CHG,CHG-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
TC-CS-5,TC,CHG,CHG-CS-5,The Company's Change Management Team performs an audit of changes to ensure change documentation meets The Company Change Management Policy. ,PR.IP-3,Configuration change control processes are in place
SC-CS-1,SC,CPL,CPL-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated
SC-CS-1,SC,CPL,CPL-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
SC-CS-2,SC,CPL,CPL-CS-2,"The Company performs risk assessments to determine company compliance with legislative, statutory, and regulatory obligations regarding cybersecurity.",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
DE-CS-1,DE,CRY,CRY-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",PR.DS-1,Data-at-rest is protected
DE-CS-1,DE,CRY,CRY-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",PR.DS-2,Data-in-transit is protected
DE-CS-2,DE,CRY,CRY-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,PR.DS-1,Data-at-rest is protected
DE-CS-3,DE,CRY,CRY-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,PR.DS-2,Data-in-transit is protected
DE-CS-4,DE,CRY,CRY-CS-4,The Company owned laptops and mobile devices employ full disk encryption.,PR.DS-1,Data-at-rest is protected
DE-CS-5,DE,CRY,CRY-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",PR.DS-1,Data-at-rest is protected
DE-CS-5,DE,CRY,CRY-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",PR.DS-2,Data-in-transit is protected
DE-CS-6,DE,CRY,CRY-CS-6,"Access to cryptographic keys is restricted to authorized personnel and appropriately stored, protected, and maintained, in accordance with defined requirements.",PR.DS-1,Data-at-rest is protected
DE-CS-6,DE,CRY,CRY-CS-6,"Access to cryptographic keys is restricted to authorized personnel and appropriately stored, protected, and maintained, in accordance with defined requirements.",PR.DS-2,Data-in-transit is protected
DE-CS-7,DE,CRY,CRY-CS-7,Cryptographic mechanisms have been implemented to protect data integrity in transit.,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity"
DE-CS-8,DE,CRY,CRY-CS-8,Cryptographic mechanisms have been implemented to verify the authenticity of software prior to installation.,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity"
DE-CS-9,DE,CRY,CRY-CS-9,"A formal digital certificate management program, including supporting requirements and management documentation, technology, and inventory, is defined, established, implemented, and maintained.",PR.DS-2,Data-in-transit is protected
DC-CS-1,DC,DCH,DCH-CS-1,"Security requirements have been defined, documented, and communicated to appropriate individuals, to establish the organization's approach to the classification and handling of data, in accordance with its sensitivity and criticality. The requirements are reviewed, updated as necessary, and approved on at least an annual basis.",ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value"
DC-CS-2,DC,DCH,DCH-CS-2,Information assets are classified and labeled in accordance with established data classification requirements. ,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value"
DC-CS-3,DC,DCH,DCH-CS-3,"The organization manages, protects, and monitors removable media usage in accordance with documented and approved data handling and acceptable usage requirements.",PR.PT-2,Removable media is protected and its use restricted according to policy
DC-CS-4,DC,DCH,DCH-CS-4,A Data Loss Prevention (DLP) Program is in place to detect and monitor unauthorized leakage of sensitive data across the enterprise.,PR.DS-5,Protections against data leaks are implemented
DC-CS-5,DC,DCH,DCH-CS-5,"A Record Retention Policy and accompanying governing documents have been defined, documented and communicated to appropriate individuals, in accordance with applicable laws, regulations, and contractual obligations. The Policy and governing documents are reviewed, updated as necessary, and approved on at least an annual basis.",PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
DC-CS-6,DC,DCH,DCH-CS-6,A risk based process to discover and protect or remove data at rest in repositories is defined and implemented. ,PR.DS-1,Data-at-rest is protected
FM-CS-1,FM,FM,FM-CS-1,The Company has a documented strategy which defines a risk based process to monitor consumer access to applications to detect fraud activity. ,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events
FM-CS-2,FM,FM,FM-CS-2,The Company tests the efficacy of fraud monitoring tools on a [INSERT TIME FRAME] basis and remediates identified issues.,DE.DP-3,Detection processes are tested
FM-CS-2,FM,FM,FM-CS-2,The Company tests the efficacy of fraud monitoring tools on a [INSERT TIME FRAME] basis and remediates identified issues.,DE.DP-5,Detection processes are continuously improved
GV-CS-1,GV,GOV,GOV-CS-1,"Appropriate safeguards to protect The Company personnel and data and to comply with applicable laws, regulations, customer contracts, and industry standards relating to information security are implemented and documented within The Company's Information Security Policy ("Policy"). The Policy is reviewed on at least an annual basis.",ID.GV-1,Organizational cybersecurity policy is established and communicated
GV-CS-1,GV,GOV,GOV-CS-1,"Appropriate safeguards to protect The Company personnel and data and to comply with applicable laws, regulations, customer contracts, and industry standards relating to information security are implemented and documented within The Company's Information Security Policy ("Policy"). The Policy is reviewed on at least an annual basis.",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
GV-CS-10,GV,GOV,GOV-CS-10,"Prior to integration, the Company assesses the impact of the Acquired Entities' information security safeguards (e.g., running vulnerability scans, assessing access control processes, and assessing change control processes) on the Company Information Security Management Program.  The Company creates a plan to address high risks to the Company Information Security Management Program without undue delay.",ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-11,GV,GOV,GOV-CS-11,"A privacy program based on company-wide privacy principles and a privacy charter is formally defined, documented, and implemented.",ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners
GV-CS-11,GV,GOV,GOV-CS-11,"A privacy program based on company-wide privacy principles and a privacy charter is formally defined, documented, and implemented.",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
GV-CS-12,GV,GOV,GOV-CS-12,"External privacy notice(s) are developed, documented, and published detailing how the organization processes personal data. The external privacy notice(s) are reviewed, updated and approved on at least an annual basis.",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
GV-CS-13,GV,GOV,GOV-CS-13,The Company provides to relevant parties the third party assessor's information security management program assessment report. ,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
GV-CS-14,GV,GOV,GOV-CS-14,"For The Company systems deployed in its FedRAMP boundaries, a system security plan is established, maintained, and updated on a [INSERT TIME FRAME] basis. ",ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-15,GV,GOV,GOV-CS-15,"For The Company systems deployed in its FedRAMP boundaries, for any weaknesses or deficiencies noted during the assessment, a Plan of Action and Milestone is established, maintained, and updated on a [INSERT TIME FRAME] basis.",ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-2,GV,GOV,GOV-CS-2,"A comprehensive information security management program, including defined roles and responsibilities has been established, implemented and communicated. The Information Security Management Program is documented, maintained and approved.",ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established"
GV-CS-2,GV,GOV,GOV-CS-2,"A comprehensive information security management program, including defined roles and responsibilities has been established, implemented and communicated. The Information Security Management Program is documented, maintained and approved.",ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners
GV-CS-3,GV,GOV,GOV-CS-3,"The Company employs a Chief Information Security Officer who is responsible for implementing, maintaining, and monitoring The Company's Information Security Management Program.",ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners
GV-CS-3,GV,GOV,GOV-CS-3,"The Company employs a Chief Information Security Officer who is responsible for implementing, maintaining, and monitoring The Company's Information Security Management Program.",PR.IP-8,Effectiveness of protection technologies is shared
GV-CS-4,GV,GOV,GOV-CS-4,"The Company employs an Information Security Officer or equivalent for each of its business units who is responsible for implementing, maintaining, and monitoring The Company's Information Security Management Program at the business unit level.",ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners
GV-CS-4,GV,GOV,GOV-CS-4,"The Company employs an Information Security Officer or equivalent for each of its business units who is responsible for implementing, maintaining, and monitoring The Company's Information Security Management Program at the business unit level.",PR.IP-8,Effectiveness of protection technologies is shared
GV-CS-5,GV,GOV,GOV-CS-5,Reporting is provided to The Company Board of Directors and the Technology Committee on the adequacy of the Information Security Management Program and The Company's security posture at least annually.,ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-5,GV,GOV,GOV-CS-5,Reporting is provided to The Company Board of Directors and the Technology Committee on the adequacy of the Information Security Management Program and The Company's security posture at least annually.,PR.IP-7,Protection processes are improved
GV-CS-5,GV,GOV,GOV-CS-5,Reporting is provided to The Company Board of Directors and the Technology Committee on the adequacy of the Information Security Management Program and The Company's security posture at least annually.,PR.IP-8,Effectiveness of protection technologies is shared
GV-CS-6,GV,GOV,GOV-CS-6,"Variances in the implementation of a policy statement, standard, control or technical requirement are identified, documented, tracked, managed, remediated as appropriate, and approved, where required.",ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-6,GV,GOV,GOV-CS-6,"Variances in the implementation of a policy statement, standard, control or technical requirement are identified, documented, tracked, managed, remediated as appropriate, and approved, where required.",RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks
GV-CS-7,GV,GOV,GOV-CS-7,The Company assesses the Information Security Management Program at planned intervals.,ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-8,GV,GOV,GOV-CS-8,"Management performs information security related due diligence procedures, which include assessments of the information security environment, on target companies, prior to acquisition.",ID.GV-4,Governance and risk management processes address cybersecurity risks
GV-CS-9,GV,GOV,GOV-CS-9,"Upon acquisition of new companies, management develops an integration plan that includes implementation or enhancement of information security controls. A Company project team is assigned that regularly monitors and oversees the integration to ensure that progress is being made without undue delay, and where feasible.",ID.GV-4,Governance and risk management processes address cybersecurity risks
HR-CS-1,HR,HRS,HRS-CS-1,Background and drug screening is performed on employees per company policy.,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
HR-CS-2,HR,HRS,HRS-CS-2,Background and drug screening is performed on contractors per company policy. ,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
HR-CS-3,HR,HRS,HRS-CS-3,The Company maintains worker termination procedures which are required to be initiated in the appropriate HR portal within [INSERT NUMBER] hours of termination date.,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
HR-CS-4,HR,HRS,HRS-CS-4,The Company employees complete onboarding procedures prior to the employee's start date.,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
HR-CS-5,HR,HRS,HRS-CS-5,"For The Company systems deployed, The Company maintains a Sanctions Process that is a two-tier administrative process and is designed to evaluate allegations. ",PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
AC-CS-1,AC,IAC,IAC-CS-1,Enterprise User Accounts are provisioned when an approved request has been documented.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-1,AC,IAC,IAC-CS-1,Enterprise User Accounts are provisioned when an approved request has been documented.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-10,AC,IAC,IAC-CS-10,[INSERT USER TYPE] access is certified by appropriate management on a [INSERT TIME FRAME] basis.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-10,AC,IAC,IAC-CS-10,[INSERT USER TYPE] access is certified by appropriate management on a [INSERT TIME FRAME] basis.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-11,AC,IAC,IAC-CS-11,[INSERT USER TYPE] creation is permitted when appropriate approvals are obtained.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-11,AC,IAC,IAC-CS-11,[INSERT USER TYPE] creation is permitted when appropriate approvals are obtained.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-12,AC,IAC,IAC-CS-12,[INSERT USER TYPE] and access are provisioned by an authorized party.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-12,AC,IAC,IAC-CS-12,[INSERT USER TYPE] and access are provisioned by an authorized party.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-13,AC,IAC,IAC-CS-13,[INSERT USER TYPE] access is removed or disabled upon notification from an authorized party.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-13,AC,IAC,IAC-CS-13,[INSERT USER TYPE] access is removed or disabled upon notification from an authorized party.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-14,AC,IAC,IAC-CS-14,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions
AC-CS-14,AC,IAC,IAC-CS-14,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
AC-CS-15,AC,IAC,IAC-CS-15,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions
AC-CS-15,AC,IAC,IAC-CS-15,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
AC-CS-16,AC,IAC,IAC-CS-16,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions
AC-CS-16,AC,IAC,IAC-CS-16,Security requirements for [INSERT USER TYPE] and credentials are enforced.,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
AC-CS-17,AC,IAC,IAC-CS-17,Consumers are properly identified before a [INSERT USER TYPE] is created.,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions
AC-CS-2,AC,IAC,IAC-CS-2,Organizational Users are only provisioned with system and application access when an approved request has been documented.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-2,AC,IAC,IAC-CS-2,Organizational Users are only provisioned with system and application access when an approved request has been documented.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
AC-CS-3,AC,IAC,IAC-CS-3,Privileged accounts for Organizational Users are provisioned when an approved request has been documented.,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
AC-CS-3,AC,IAC,IAC-CS-3,Privileged accounts for Organizational Users are provisioned when an approved request has been documented.,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
