Control_ID,Control_Statement,TR_ID,Technical_Requirement
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-600,"The Company Change Management Team reviews Risk 1, 2, and 3 changes for completion and quality. Any changes that need revision are communicated to the ticket creator by either restarting the workflow or as an email attachment on a [INSERT TIME FRAME] basis."
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-800,The Company requires Risk 1 and Risk 2 changes have additional approvals and tasks for certification.
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-900,Change Creator and Change Assignee are not the same person.
TC-CS-3,The Company has established a Change Advisory Board (CAB) to review changes categorized as Risk 1 or Risk 2. ,TC-TR-200,The Company Risk Evaluation for changes is used to determine Risk Rating.
TC-CS-3,The Company has established a Change Advisory Board (CAB) to review changes categorized as Risk 1 or Risk 2. ,TC-TR-300,The Company Change Advisory Board: 
TC-CS-3,The Company has established a Change Advisory Board (CAB) to review changes categorized as Risk 1 or Risk 2. ,TC-TR-700,The Company requires that changes with known or identified security risks are subject to additional approvals in accordance with Change Control Process requirements.
TC-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",TC-TR-310,Normal production changes should be tested in a lower environment prior to migration in production. For additional details see The Company Change Management Policy. 
TC-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",TC-TR-400,The Company change reviewers examine the following details in the change as criteria to approve or disapprove:
TC-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",TC-TR-500,The Company evaluates changes by type:
TC-CS-5,The Company's Change Management Team performs an audit of changes to ensure change documentation meets The Company Change Management Policy. ,TC-TR-1100,"The Company audits change history to confirm changes are following the established change management process by risk rating of changes. The audit reviews that changes are properly categorized, risk rated and approved. The audit is performed annually by the CAB, CMT or an independent party. Results are communicated to the CAB, Change Management Team, and relevant control operators. Action is taken to remediate unauthorized changes and/or controls that were not operating effectively."
SC-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",SC-TR-100,"The Company subscribes to relevant services to track proposed legislative, statutory, and regulatory changes directly impacting The Company business units."
SC-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",SC-TR-200,"The Company maintains an inventory of passed/effective international, federal, state, and industry specific legislative, statutory, and regulatory changes directly impacting The Company business units."
SC-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",SC-TR-300,"The Compliance Team, in coordination with any impacted business unit and Legal, performs impact assessments on passed/effective relevant legislation, statutes, and regulations to assess the overall impact to business units and to understand any necessary changes to related policies, practices, technologies, and procedures."
SC-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",SC-TR-400,"The Compliance Team develops and tracks legislative, statutory, and regulatory requirements against a response plan developed as part of the results of an impact assessment."
SC-CS-2,"The Company performs risk assessments to determine company compliance with legislative, statutory, and regulatory obligations regarding cybersecurity.",SC-TR-500,"The Compliance Team performs risk assessments to determine company compliance with legislative, statutory, and regulatory obligations regarding cybersecurity in accordance with the criteria established in The Company Standards."
DE-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",DC_DE-TR-100,"The Company defines, communicates, approves, reviews, and maintains technical requirements which outline the organization's overall approach to data protection based on sensitivity and criticality"
DE-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",DC_DE-TR-200,The Company maintains definitions of classified data types
DE-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",DC_DE-TR-6200,The Company encrypts all administrative access to systems. No insecure protocols such as telnet can be used for external or internal administrative access to systems.
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-2600,"The Company requires that all new application or service design and development work encrypts Class 5 data at the application layer before reposing it (at-rest), or transmitting it (in-transit). Application layer encryption does not include Transparent Encryption (TE) or Transparent Data Encryption (TDE). "
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-2700,"The Company requires that all new application or service design and development work encrypts Class 3 or 4 data at the application layer or at the service layer if Effective Access Controls exist at that layer before reposing it (at-rest), or transmitting it (in-transit)"
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-2800,The Company follows these requirements when working with sensitive data:
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-2900,"The Company uses either encryption or tokenization to devalue data at rest, in transit, and in use."
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-3000,The Company brings legacy systems into compliance with current security requirements wherever possible.
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-3100,"The Company does not consider Transparent Encryption (TE) or Transparent Data Encryption (TDE) sufficient by itself to provide effective protection for Class 5 Data. TDE/TE may be used as a part of a defense-in-depth plan to protect data, even if other, fully compliant encryption mechanisms are also employed. "
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-3200,The Company allows the use of TE or TDE for Class 4 data and below as long as Effective Access Controls are in place and functional.
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-3300,The Company application teams obtain an approved control variance for any application that operates outside of existing policy requirements.
DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,DC_DE-TR-3500,"The Company applies appropriate levels of protection for Information Assets, including data at rest and data in transit."
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-2600,"The Company requires that all new application or service design and development work encrypts Class 5 data at the application layer before reposing it (at-rest), or transmitting it (in-transit). Application layer encryption does not include Transparent Encryption (TE) or Transparent Data Encryption (TDE). "
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-2700,"The Company requires that all new application or service design and development work encrypts Class 3 or 4 data at the application layer or at the service layer if Effective Access Controls exist at that layer before reposing it (at-rest), or transmitting it (in-transit)"
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-2800,The Company follows these requirements when working with sensitive data:
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-2900,"The Company uses either encryption or tokenization to devalue data at rest, in transit, and in use."
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-3000,The Company brings legacy systems into compliance with current security requirements wherever possible.
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-3500,"The Company applies appropriate levels of protection for Information Assets, including data at rest and data in transit."
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-5900,The Company employs cryptographic mechanisms to prevent unauthorized modification or corruption of information during transmission.
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-5910,"For The Company systems deployed in its FedRAMP boundaries, The Company must produce, control, and distribute asymmetric keys using FIPS-compliant key management technology and processes such as using NSA-approved key management technology and processes. For internet accessible The Company systems deployed in its FedRAMP boundaries, The Company must produce, control, and distribute asymmetric keys using FIPS-compliant key management technology and processes such as using NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key."
DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,DC_DE-TR-6100,The Company cryptographic solutions are implemented so that:
DE-CS-4,The Company owned laptops and mobile devices employ full disk encryption.,DC_DE-TR-3600,The Company configures mobile computing devices with full disk encryption enabled
DE-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",DC_DE-TR-3700,The Company maintains a comprehensive key management program that requires:
DE-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",DC_DE-TR-3800,The Company maintains a documented description of the cryptographic architecture that includes:
